,difluencies_score,model_DEATH,score_parenthetique_matches,LSC,model_PHYSICAL_SENSATIONS,ON_generic,average_clustering,transitivity,first_personal_pronoun_plur,model_BODY,textblob_subjectivity,score_paticules_matches,average_shrotest_path_g0,third_personal_pronoun,verb_participe_passe,textblob_polarity,L2,verb_conditionel,ON_we,passive_count_norm
39,0.3382896499507141,0.27265634497775687,0.1788652884218434,0.17329188538304896,0.05026884751937181,0.0,0.0,0.030458085458514705,0.0,0.03467908936822562,0.017370503970820003,0.08668212506953167,0.0,0.010340364449695136,0.01882877981583302,0.0067988416080913714,0.0,0.0,0.047466033220346475,0.0
40,0.13040275563832085,0.2682445394039366,0.22761422503426473,0.03517265739705912,0.027224530484191357,0.039958360331783994,0.24325901692084714,0.09224580930063733,0.0,0.0,0.06981627083987026,0.004165478682823974,0.0,0.028129332639552793,0.0,0.0,0.0,0.008965179451263967,0.0,0.007923049456198383
41,0.20466969309712088,0.04152245453485321,0.23943319614999842,0.08003705274770269,0.07038596216367038,0.11251281630646486,0.07302919978046987,0.01244042486888995,0.0,0.10384548439789672,0.09007637593778019,0.0,0.03924933352870049,0.0,0.012626839615715963,0.03564947406674578,0.012955490794435238,0.0,0.0,0.0
42,0.22347723219677515,0.31491471480149547,0.21676697970330153,1.4276851090787933e-06,0.0,0.06819734986962102,0.08883322990301883,0.025934938928583194,0.0,0.0,0.07182303354763672,0.0,0.12804776775901902,0.0,0.0037925750090646725,0.0,0.0013310685332960446,0.03912112844966391,0.0,0.0
43,0.3525288951887806,0.20176813638441898,0.12932239306710858,0.09965819457071966,0.10604704256112872,0.0,0.06657203061162136,0.11062093220151925,0.0,0.0,0.0,0.0,0.0009691843470361257,0.0561309477514753,0.0,0.005047034553998853,0.0,0.0,0.0,0.0
44,0.2972344802725405,0.1632454593359358,0.13867435712158896,0.0712706883616316,0.032783050495404226,0.0,0.027613282213802912,0.025662812356359862,0.029295001891827325,0.0,0.03664788159771467,0.07880536746628654,0.0,0.0,0.06890536016207378,0.016471208922986032,0.0,0.022614517184715178,0.0,0.0
45,0.1833020298865555,0.3611612507244912,0.16033367673224427,0.027777565684156815,0.0,0.08424614703919127,0.15849978804965595,0.08407086706148292,0.0,0.16415027269272348,0.08651437379329824,0.0,0.017371855672984878,0.0,0.0,0.0,0.0,0.03114153438622699,0.0,0.033581000732641454
46,0.41525633555183294,0.16260709133772597,0.2946661250882343,0.06257790456504222,0.01707282341473967,0.0,0.0,0.0,0.028957932383623545,0.09042553734216414,0.06389339423752853,0.05658329961148282,0.0648136090535332,0.06522840379436459,0.005961615789130366,0.019482473637889495,0.01092988887571451,0.0,0.0,0.0
47,0.38692775069810104,0.3043238730886708,0.2244951009118741,0.15278245754103587,0.05186081098434163,0.0,0.0,0.14350894565804342,0.0,0.0076393292548800895,0.043725964825510194,0.0,0.0,0.04350907349795008,0.035832748143127674,0.0,0.0,0.0,0.0,0.0
48,0.21919343242949157,0.14879024220624143,0.19034185006816173,0.030817098180164072,0.11793769442352804,0.06159215536298719,0.0,0.11871593413050895,0.05511542690168931,0.10354684739548795,0.02681123419587388,0.0,0.006358476186599992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
