,verb_participe_passe,model_BODY,verb_indicatif_present,model_DEATH,ON_we,liwc_émopos,labMT,LCC,NOM_PERCEPTIONS_SENSORIELLES,average_shrotest_path_g0,diameter_g0,degree_average,L2,difluencies_score,LSC,first_personal_pronoun_plur,ON_generic,PE,model_PHYSICAL_SENSATIONS,score_paticules_matches
29,0.06666666666666665,0.033333333333333326,0.09999999999999998,0.06666666666666665,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326,0.06666666666666665,0.0,0.033333333333333326,0.06666666666666665,0.06666666666666665,0.0,0.1333333333333333
30,-0.033333333333333326,-0.06666666666666665,-0.033333333333333326,-0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,-0.06666666666666665,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,-0.033333333333333326,0.0
31,-0.033333333333333326,0.033333333333333326,-0.033333333333333326,0.0,0.033333333333333326,0.0,0.09999999999999998,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0
32,0.033333333333333326,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,-0.06666666666666665,-0.033333333333333326,0.0,-0.033333333333333326
33,-0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,-0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.033333333333333326,0.09999999999999998,0.0,0.0,0.0,0.033333333333333326,-0.033333333333333326,0.0,0.0,0.09999999999999998,0.0,0.06666666666666665,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,0.0,0.09999999999999998,0.06666666666666665
35,-0.06666666666666665,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,-0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,-0.033333333333333326,-0.06666666666666665,-0.033333333333333326,0.033333333333333326,-0.033333333333333326
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033333333333333326
37,0.06666666666666671,-0.06666666666666665,0.0,0.0,0.0,-0.06666666666666665,-0.033333333333333326,0.0,0.0,0.0,0.0,-0.033333333333333326,-0.033333333333333326,0.0,0.0,-0.033333333333333326,0.0,0.0,-0.033333333333333326,-0.033333333333333326
38,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,-0.033333333333333326,0.0,0.0,0.0,0.0,-0.033333333333333326,-0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.0
